Sample	Date of Collection	Pangolin	Month	Week
ME-CDC-ASC210344846	2021-10-09	AY.47	2021-10	2021-40
ME-CDC-ASC210344790	2021-10-09	AY.44	2021-10	2021-40
ME-CDC-FG-158670	2021-10-22	AY.119	2021-10	2021-42
ME-CDC-LC0350955	2021-10-14	B.1.617.2	2021-10	2021-41
ME-CDC-LC0350762	2021-10-16	B.1.617.2	2021-10	2021-41
ME-CDC-LC0350839	2021-10-16	AY.3	2021-10	2021-41
ME-CDC-LC0351018	2021-10-19	AY.39	2021-10	2021-42
ME-CDC-LC0344161	2021-10-22	AY.100	2021-10	2021-42
ME-CDC-IBX558221344359	2021-10-25	AY.103	2021-10	2021-43
ME-CDC-IBX864103786410	2021-10-21	AY.103	2021-10	2021-42
ME-CDC-ASC210095078	2021-09-24	AY.103	2021-9	2021-38
ME-CDC-ASC210345100	2021-10-08	AY.119	2021-10	2021-40
ME-CDC-ASC210345141	2021-10-09	AY.25.1	2021-10	2021-40
ME-CDC-ASC210345062	2021-10-09	AY.103	2021-10	2021-40
ME-CDC-ASC210345064	2021-10-09	AY.103	2021-10	2021-40
ME-CDC-ASC210345063	2021-10-10	AY.103	2021-10	2021-41
ME-CDC-ASC210345097	2021-10-10	AY.25	2021-10	2021-41
ME-CDC-ASC210344306	2021-10-11	AY.44	2021-10	2021-41
ME-CDC-ASC210344293	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-ASC210345065	2021-10-11	AY.100	2021-10	2021-41
ME-CDC-ASC210358443	2021-10-12	AY.103	2021-10	2021-41
ME-CDC-ASC210361650	2021-10-13	AY.103	2021-10	2021-41
ME-CDC-ASC210345600	2021-10-13	AY.44	2021-10	2021-41
ME-CDC-ASC210361763	2021-10-13	AY.119	2021-10	2021-41
ME-CDC-ASC210361760	2021-10-13	AY.119	2021-10	2021-41
ME-CDC-ASC210358501	2021-10-09	AY.25	2021-10	2021-40
ME-CDC-ASC210344460	2021-10-10	AY.100	2021-10	2021-41
ME-CDC-ASC210343580	2021-10-10	AY.3	2021-10	2021-41
ME-CDC-ASC210343423	2021-10-10	AY.103	2021-10	2021-41
ME-CDC-ASC210358218	2021-10-11	AY.26	2021-10	2021-41
ME-CDC-ASC210358635	2021-10-11	AY.44	2021-10	2021-41
